ID,Date,# of words in the review,Rating (1-5 stars),Review
3101,10/10/20,30,5, i really like the game but am disappointed that most of the objects you need or want to buy must be bought with fish bucks other than that great game
3042,10/10/20,24,5, it's fun to play but i wish it was easier to get fish bucks instead of spending your own money on virtual fish.
2957,10/10/20,20,5, if u love to have fishes in a tank this is the perfect game to help take care ur pet
2847,10/10/20,17,4, sometimes i can't get the internet and the will die if not fed once a day.
2932,10/10/20,19,3, everytime i open tapfish it immediately closes n i have to tap it again to get it to start.
2810,10/10/20,16,2, so you cant get most of the trophies without spending money every month on the game.
2765,10/10/20,16,5, love this app but it won't let me claim my 7 collection in the frog task.
3123,10/10/20,33,5, i love this game very addictive but i dont like how its so hard to get fish bucks and that some of the challenges need quite a bit of them and the quests
2854,10/10/20,17,3, i never got compensation for what i had lost but i guess that's how it goes.
2710,10/10/20,15,5, just taken a load off fish off me snd won't let me breed fish
2772,10/10/20,16,5, i love dis game... even though i have to fight my girl to have a turn'''
3099,10/10/20,30,5, i can't even see the quests with the new update and if i accidentally hit them it force closes and asks what way i want to send an email.
2756,10/10/20,15,2, i definitely miss the older version of tap fish... when it never froze my phone
2897,10/10/20,18,2, it starts you off with simple goals then every achievement after that requires you to buy fish bucks.
2844,10/10/20,17,4, it would be better if there were more fish you didn't have to  buy with fishbucks.
2752,10/10/20,15,2, interesting so far but seems like you get no where without real money being spent
3098,10/10/20,29,2, game constantly fails when trying to parse data causing application to close the only way to fix is to reinstall the application losing all your fish and starting over.
2774,10/10/20,16,5, i like taking care of my fish and doing the quests unlike some fish tank games.
3106,10/10/20,31,5, if u play the game i advise u not to put any money out of your pocket into it because someway somehow u will lose it and get nothing in return!
3001,10/10/20,22,5, i just wish we could log in to it so we can save our tanks & everything else when we get new phones!
3044,10/10/20,24,4, fun jus takes forever for fish to grow an its hard to earn fish bucks if you dont wanna buy them with real money
2808,10/10/20,16,2, i emailed the developer only to get a generic email about transferring data to another phone .
2943,10/10/20,20,5, i love the game... wish the fish would grow faster... and i wish it was easier to get fish bucks..
3151,10/10/20,51,4, i had hundreds of dollers worth of fish backgrounds plants decorations all in 58 tanks lost it all when i had to change phones because my phone went bad not happy i cant get that back i dont want to start over love the game i just dont want to start over
2742,10/10/20,15,3, i prefer fish live but this is a pretty good game i am enjoying it
2803,10/10/20,16,3, the submarine would return back to the tank then the game would shut down n close.
2695,10/10/20,15,5, i really enjoy looking after the aquarium's. as well as cross breeding the fish.
3059,10/10/20,25,4, it's a fun game that kills time the only problem is that you can't change what kind of fish you want to breed
2906,10/10/20,19,5, love this game its fun eazy and entertaining the fish are graet the events r fun the issues resolved
3163,10/10/20,103,1, tap fish used to be a good fun game and i have played for a very long time but now everything cost fish bucks and i refuse to spend real money on a free game or game period and now the events have just stopped...used to be events all the time and kept it fun..its no fun anymore and when there is stuff to do it involves fish bucks and you can't even play or enjoy it....all new mystery and reg breedables cost bucks.....thinking of uninstalling after all this time unless it changes and they rnt so greedy!
2896,10/10/20,18,3, for any earned coins or bucks-keep all emails regarding them until they show up on your account.
2840,10/10/20,17,4, the erotic ads that are displayed in my windows are really awkward... where is this coming from?
3006,10/10/20,22,4, i recommend you install this game but one problem it uses to much of my time other than that it's great.
3057,10/10/20,25,4, it is very good because you can understand how to take care of fish from this game but the prices of everything is to high
2998,10/10/20,21,2, update: lowering from 4 to 2 * due to earning fishbucks issues...i have been receiving less fishbucks upon completion then the offers state.
3072,10/10/20,26,3, i like the game save ur bucks their hard to come by seem like they want u 2 use cash to advance other than that good game
3058,10/10/20,25,4, everytime i try to add a friend it says they do not exist and when trying to add me it says the same plz fix
3112,10/10/20,31,1, not even playable can't buy new fish due to force close do not wast your time eats meyory dive event = force close needs to be fixed a.s.a.p.
3012,10/10/20,22,1, if you have to spend fish bucks to buy fish - the fish should be sold back for fish bucks and not coins.
2968,10/10/20,20,1, i love this game but till you can get more christmas events and fish for coins you are getting 1 star
2771,10/10/20,16,5, okay i play this all the time ever while i was at the movies .so fun
2988,10/10/20,21,4, it would be a really nice add-on to have a link straight from the trophy room to buy required fish.
2814,10/10/20,17,4, the only problem i have with this game is that it's hard to get fish bucks.
2807,10/10/20,16,3, but my issue is to be able to move my tanks from my old phone to.
2857,10/10/20,17,3, i really enjoy breeding and collecting fish very easy to use my daughter enjoy it as well
2983,10/10/20,21,5, it may not be real fish but i can't help but feel sad every time i sell one of them
2874,10/10/20,18,5, living in an apartment and not being able to have a fish tank this app makes it easy
2697,10/10/20,15,5, downfall.... i'm not going yo pay hundreds of dollars to get the cool fish.
3062,10/10/20,25,1, this game would fun if you didn't have to use your own money to buy fish bucks to get the really cool features/items.
2915,10/10/20,19,5, nice app for people that can have pet in the house this is a good game to be intertane
2806,10/10/20,16,3, the company however is a rip off because you have to keep spending money on fishbucks.
2821,10/10/20,17,2, i'd give it above 2 stars if it had more achievements that didn't require blowing money.
2794,10/10/20,16,1, didn't get the new year event until yesterday and it will only be open 2 days.
2734,10/10/20,15,1, past event (christmas) is still present with an error if you try to open it.
2795,10/10/20,16,1, but need to be able to get mote fish bucks and the levels should be shorter
2692,10/10/20,15,5, this is a grate game and i will play it every day from now on.
2702,10/10/20,15,5, i highly recommend installing this app if you are looking to keep a virtual pet
2699,10/10/20,15,5, could use a bit of of update on the fish selection in few categories...old.
2944,10/10/20,20,5, better than a real fish tank cuz if they all die its nothing that a lil money can't fix
2683,10/10/20,15,1," four months of no fish growth,   tank level up, breeding of new fish every 3 days."
3017,10/10/20,22,3, i would give the better rate but you did upgrade and i can't work with cleaning or feeding please fix this
2788,10/10/20,16,4, everything in the game has a price and a lot of those prices are extremely high.
3155,10/10/20,61,2, i had this game on another phone played for a long time i had to get another phone and i lost my tanks but yet once i searched for a friend on social i found my old tanks and my fishes all dead...is there any way that i could get my old game back instead of starting all over again?
3065,10/10/20,26,5, i got a limited edition santa and mrs claus fish thats 2 fish in first lot they are breeding im now getting a christmas turtle (ultra rare)
3146,10/10/20,46,5, i love it this game is soooo coool fun and it has very wierd but coool fish .if u want a game where u can get new and breed fish and have coool fish and tanks this is the game for u can   b-) :-p :-) :-d
2969,10/10/20,20,3, any time i try to do anything other than feed and love my fish it force closes every dingle time!
3089,10/10/20,28,4, update-after installing tap ranch to earn free fish bucks and have another game to try..i haven't been able to open tap fish to resume playing :-/
2753,10/10/20,15,2, please fix i cant fo the quests st all and i really lije this gamr
2989,10/10/20,21,4, this game is good everything works ok but its really slow and i keep losing loads of coins please fix this
2921,10/10/20,19,4, if you like fish you'll love it... if you don't... well guess you wouldn't be here(:
2954,10/10/20,20,5, unistalled and reinstalled this game is a lot better glad u guys fixed it please keep up the good work :-)
2721,10/10/20,15,4, hard to earn fishbucks tho and connection is bad sometimes but cool other than that
2833,10/10/20,17,5, my 1 year old son loves to sit on my lap and just watch the fish swim around!!
2967,10/10/20,20,1, .....u would b able to log in and pick up right where u left off....this option would be great!
3120,10/10/20,32,3, ever since the update i can't clean my tank and my happiness for each tank went from 96 down to the 50's. now i can't get bonus money well selling fish.
2846,10/10/20,17,4, its lags a little and some of the fish cost alot but overall its a good game
2850,10/10/20,17,1, also fish are so much smaller on my new galaxys3 than they were on my smaller old phone.
2916,10/10/20,19,5, ad d me i'm new plz add i want and need freindz i just have 2 freindz plz add!
2889,10/10/20,18,1, maybe also set it up with an email to log in so then u wouldn't lose everything.
2871,10/10/20,18,5, i had this game five times.even though it takes up alot of space it is really fun
3138,10/10/20,40,4, i got a new phone and    now i cannot get back into the game that i have   spent so much money on i have been well over $1000.00 and it's a shame to lose everything that i just built up..
3135,10/10/20,38,5, this game is the bomb..... on ly thing is that wen i gt a new phone and install it again i have to start all over.... besides that i love it been playing this game for a year
2828,10/10/20,17,5, i love this game because you make new breed of fish get a whole lot of money
3086,10/10/20,28,5, i love this game but since i updated it the last time it force closes on me 9 out oc 10 times please fix the problem i have android oltimus
3092,10/10/20,28,2, i llove this and would have recommended to anyone b4 my original game all my fish bucks and over 10 thousand coins was lost and i had to start over!!! :-(
3063,10/10/20,25,3, why in the event that their is they dont give me what i collect i have to keep doing it all over in my cellphone
3045,10/10/20,24,1, bought fish buck and never got them 20.00 worth now have to call bank to fight it stop deleteing my post and refund my money!!!!
3029,10/10/20,23,5, i have played for quite a while and found the color and speed better on my lg than i had on my droid.
2725,10/10/20,15,4, love this app i just wish there was an easier way to .earn fish bucks
2843,10/10/20,17,4, once visiting neighbor tanks some of them are called premiums which u aren't allowed to buy.
3111,10/10/20,31,4, its fun and addictive but the fish bucks and coins issue i really wish i could make more easily but if i could what would be the object of the game
2950,10/10/20,20,5, i love this game i love being able to take care and breed beautiful fishes it is soo much fun
2974,10/10/20,20,2, the sub division event keeps locking up or goes  black and glitches my phone please fix it or trash it
2955,10/10/20,20,5, so far i am really having a good time with this game and my kids also love it as well!
3156,10/10/20,62,1, i could just cry:(  i have been playing this game for a year and on your last update i woke up in the morning to find that all my fish that i have spent my money on are all gone.  my breeding tanks say that i have hatched eggs when none are in there.  what is up. how can i fix this?
2997,10/10/20,21,3, please help me move tanks to my new phone...was at level 36 with 29 tanks and now back to level 4 with 3 tanks!
2858,10/10/20,17,3, whereas the fishes that are within our means can only be sold for just a petty amount.
3077,10/10/20,27,5, tao fish is so fun its like real live fish please play you dont have to feed them every day maby like once or twice a day
3025,10/10/20,23,5, really fun game...i play together with my 9 year old and we have so much fun showing each other what we have done...5 *****
2912,10/10/20,19,5, i love this game and.the events that happen now and then but please dont make everything fish buks
3034,10/10/20,23,4, it's great other then the glitches and when i get a new phone i cant get my game data to switch over.
2951,10/10/20,20,5, one of the most exciting games i have found that keeps my interest even when i am not actually playing.
3142,10/10/20,43,3, it happens almost everytime i use the store.i've lost coins and bonuses multiple times.please fix the force close issues and i will definatly rate 5 stars.i think this game would be as close to perfect as you can get then.
2830,10/10/20,17,5, support is very helpful and has helped several times :)  still love the game and hooked on it!
3145,10/10/20,46,5, and i had just purchased fish bucks 40.00 dollars worth...i emailed the adress given but it was no longer valid... been force closing alot..these 2 issues happened before..but cant continue to lose money i use to buy new fish..decorations. .and maintain my tank but.
2911,10/10/20,19,5, love the upgrades that have been made so much better than the original awsome game i enjoy playing it
2783,10/10/20,16,4, but my issue is to be able to move my tanks from my old phone to.
3068,10/10/20,26,5, its pretty much like taking care of real fish except you need to look after the fishes you buy like two to three times a day.
2736,10/10/20,15,3, it's kinda boring to me...maybe because i don't fully understand the game
2910,10/10/20,19,5, i started this on my kindle and loved it so much that i now havs it on my phone :)
3154,10/10/20,60,5, i love this app i just wish i could make more money on it and i didnt have to pay for stuff i want and it force closes on me a lot but i love all the cool fish and enjoy playing it would be much better if the problems were fixed then id give it a 10 if i could
3162,10/10/20,81,3, love this game but every once and a wile it would force close and 2 days ago it wouldn't let me play unless i updated it now it won't open very upset had a lot of cool fish and now sense it won't open i no there all dead i'm gonna give it another day or 2 to fix if not i'm gonna uninstall cus there is no point in having a game if it doesn't work
2837,10/10/20,17,5, my grandkids play this all the time they love it and they are learning to be responsible.
2934,10/10/20,19,3, still force closing and tell me how to get rid of the remaining bubble fish from the bubble event.
2841,10/10/20,17,4, i expected to have better fish that had more of a thanksgiving look like indians and pilgrims.
2727,10/10/20,15,1, i read comments from the updated and it seems lk this game is goin down.
2796,10/10/20,16,1, i have paid a lots of money to this game for it not to working correctly.
2987,10/10/20,21,4, fish bucks should be easier to get and there should be more fish u can buy with coins instead of bucks.
2894,10/10/20,18,3, i will purchase a game that i enjoy but i will not purchase play money using real money.
2791,10/10/20,16,4, ya its a good game but there are few things to upgrade work on that guys
2852,10/10/20,17,1, it's bullshit that you should have yo buy fish bucks and you can't earn them ..
2762,10/10/20,16,5, so exciting to see new fish we can buy when we earn our coins and fishbucks.
3136,10/10/20,38,5, i love this game it is very interesting and it is fun it is like having your own fish and being able to take care of them and there are fish that you would never think of it
2767,10/10/20,16,5, i have 5 fish tanks at home and i guess i really like fish u can say.
2691,10/10/20,15,5, originally got it for my 2 year but i am so addicted we fight over it!
2715,10/10/20,15,4, if you are willing to earn or buy them it is an awesome game though.
2782,10/10/20,16,5, really fun and addicting so glad they give you fish bucks when you complete a level.
3100,10/10/20,30,5, for those having problems breeding the limited breedable fish.dont forget they have selected partners to breed with.you cant mix and match all of them like the regular breedables
3129,10/10/20,35,3, updated my tap fish and all my fish that i had just used my fish bucks to revive were dead and lots of my special fish that i had in display tanks are just gone..
2905,10/10/20,19,5, if it dont stop working on  me when i just invested money and a lot of time in it.
2711,10/10/20,15,4, since the last update my live wallpaper doesn't show any of my tank decorations.
3036,10/10/20,23,4, good and fun but if u acedentally press something for sail it makes u buy it but is totaly free and not glitchy
2738,10/10/20,15,3, this app is really good to see what type of breeds of fish their are.
3139,10/10/20,42,5, i don't have like the idea of having to buy fish bucks for real money ey to get most of the fish a d do most of the challenges but they are helpful if there is something wrong with your game
3056,10/10/20,25,4, cctv gb kb h txt gb in uv°„c f gb in uv hertz screech gb durex etc ft dad°„c sf°„c tux yeahhhh
2731,10/10/20,15,1, i installed and ran a partner app was supposed to get 25 fishbucks for doing so.
3141,10/10/20,43,4, fun and makes a neat background but hassle to get enough fishbucks to buy stuff should b able buy stuff wit jus coins kinda dumb they want u use real $ for fishbu ks to get stuff for fake fish on a free app
3022,10/10/20,22,3, if i had that kind of money i would just pay a game designer to create me a game i can play.
2716,10/10/20,15,4, i had to reinstall this game so i lost everything but i still love it.
2718,10/10/20,15,4, would love more if ya could earn fishbucks or buy with profits from fish sold.
2746,10/10/20,15,3, pretty fish that dont smell great what more could u expect from a fish app ?
2978,10/10/20,21,5, it gets harder and harder to level up to purchase enough tanks for all breeds of fish and the event fish.
2917,10/10/20,19,4, it's a fun game but for some reason it's really slow when i click on fish eggs.
3153,10/10/20,51,1, now there's a frog game and i can't stay awake through the night every 2 and a half hours or so to pop frogs and if you don't pop them fast enough they don't grow up they want you to get by the frog eggs at its ridiculous.
2728,10/10/20,15,1, the christmas event didn't load until the day before it was due to expire.
2860,10/10/20,17,2, fish are so much smaller on my new galaxysiii than they were on my smaller old phone.
2902,10/10/20,19,5, all the christmas fish i just bred and other christmas fish that i bought to bred are all missing.
3048,10/10/20,24,1, bought fish buck and never got them 20.00 worth now have to call bank to fight it stop deleteing my post and refund my money!!!!
2979,10/10/20,21,5, i was  never interested in playing any of them until a yr ago when my 13 yr old showed me this one.
